normalized_token,classification,count,variant_examples,sample_contexts
Швейцарии,title,4,Швейцарии (4),"Читаю на сайте русскоязычного СМИ Швейцарии: ""Мы побеседовали с бывшим президентом | президентом Киргизии Аскаром Акаевым в Швейцарии, где живут его дети и внуки. В Швейцари | вейцарии, где живут его дети и внуки. В Швейцарии он разрабатывает идеологию Мирового пра"
Юстиниан,unknown,4,Юстиниане (3); Юстинианом (1),"ние Восточной Римской империи (ВРИ) при Юстиниане и его последователях, начиная с 530-х г | ё восстановить византийским императором Юстинианом в середине VI века виновата эпидемия чу | олидов. Это пик могущества Византии при Юстиниане, когда он отвоевал часть Италии и даже"
Даниловский,unknown,4,Даниловском (2); Даниловский (1); Даниловского (1),"в отраслевом журнале про переустройству Даниловского рынка, и там урбанисты гордо пишут, что | , обжаренный лук-шалот, чеснок. Даже на Даниловском рынке не вижу в последнее время бобы. П | Проехался сегодня из Замоскворечья на Даниловский рынок и обратно на трамвае. Оба раза тр"
Болотку,title,4,Болотку (4),"люс-минус). Можно вспомнить российскую «Болотку» 2011-12 годов, где тоже всё закончилос | если только власти не пойдут на вторую «Болотку» с десятками уголовных дел, чтобы сбить"
Гордон,unknown,4,Гордону (2); Гордон (1); Гордона (1),"""Киров с нами!"" Плакат Михаила Гордона, стихи Николая Тихонова, 1944 год | льшое и интересное интервью Венедиктова Гордону. Давно не помню настолько откровенных р | усова в интервью украинскому журналисту Гордону замечает: «– Что вас не устраивает в со"
Хизбаллы,title,4,Хизбаллы (4),жей исламской революции обвинил лидера «Хизбаллы» Хасана Насраллу в крупных хищениях. Ли | ана Насраллу в крупных хищениях. Лидер «Хизбаллы» помещен под домашний арест. Расследова | енных режимом иранских аятолл на нужды «Хизбаллы». Украденные средства были переведены н
Harunspeaks,unknown,4,Harunspeaks (4),"тема - ислам и марксизм. Хорошо бы ув. @Harunspeaks и ув. @darulaman прокомментировали - ес | сегодня - лебединая песня. https://t.me/Harunspeaks/2132  Ещё бы заметил, что и внутри Демп | ых Телеграм-каналов. Дружеский список. @Harunspeaks – канал Харуна Сидорова об исламе, а та"
Второй Мир,person,4,Второй Мир (2); Второго Мира (1); Втором Мире (1),для социологов и политологов Первого и Второго Мира. Безлидерное и беспартийное движение пр | тские режимы и в целом весь «гибридный» Второй Мир одинаково несчастен. Без разницы – Укра | Второй Мир поднимается против попыток автократий р
Полный,unknown,4,Полная (2); Полное (1); Полный (1),"кой интеллигенцией, 1946 год. Источник: Полное собрание сочинений, Том 16) | и в тюрьму"". (И.В. Сталин в 1951 году)  Полная цитата: ""Товарищ Сталин дал указание то | действенности «адам-смитовцев»). Это: - Полная занятость. - Большой прогрессивный нало"
Маргарита,unknown,4,Маргарита (3); Маргариты (1),"вом. Можно вспомнить знаменитую реплику Маргариты Симоньян, что ""но вы же понимаете, что | да возглавляла дочь ""железного Феликса"" Маргарита Дзержинская. Сайвальд описывает типажи | умно и всерьез.   @margaritasimonyan - Маргарита. Товарищ, коллега, брат, то есть сестра"
Ротшильда,title,4,Ротшильда (4),"Герцена. Но когда Герцен захотел через Ротшильда получить остальные деньги, российские ч | лись в руках большие деньги. ""По совету Ротшильда я купил себе американских бумаг, нескол | та ненависть наполнила половину мира от Ротшильда до русского интеллигентного нищего, жен"
Ibm,unknown,4,IBM (4),"ров. (Thomas Watson – директор компании IBM, 1943 год) - В будущем компьютеры будут | Advanced Computing Systems Division of IBM, 1968 год) - Ни у кого не может возникн | цена за такую компанию, как Microsoft. (IBM, 1982 год). (Сегодня многие даже продви"
Кузнеца,title,4,Кузнеца (4),"кие флуктуации иногда называют «циклами Кузнеца». Первооткрыватель этих волн деловой ак | строительства. В настоящее время ритмы Кузнеца рассматриваются в качестве технологичес | ается, следующий их пик в рамках «цикла Кузнеца» придется не ранее 2040 года."
Сталине,title,4,Сталине (4),"ский, «Русская Православная Церковь при Сталине и Хрущеве») Протоиерей Осипов связывал | кие арабески», а также написал «Поэму о Сталине». Однако эти работы сослужили ему обрат | партии Милован Джилас в своём очерке «О Сталине» описывает встречу с вождём летом 1944"
Илья,person,4,Илья (4),", основоположник теории самоорганизации Илья Пригожин ещё при возникновении интернет | Вот откуда, оказывается, Илья Глазунов черпал вдохновение. Эту картин | Художник Илья Глазунов (с друзьями) в своей московско"
Герасимов,unknown,4,Герасимова (2); Герасимов (1); Герасимовым (1),"осиф Сталин поручил Сергею и Александру Герасимовым, Иогансону, Грабарю искать художников и | воровывал чемоданы. Потом его Александр Герасимов вызвал и сказал, что если он дальше буд | Заявление главы Генштаба Герасимова о «пятой колонне» и прочих внутренних у"
Кагановича,title,4,Кагановича (4),", нарком авиапромышленности, брат ""того Кагановича"" — застрелился в 1941-м (кстати, депута | атом ВС СССР был избран и ещё один брат Кагановича - Юлий, первый секретарь Горьковского о | Сталина Юрий (в реальности приёмный сын Кагановича) был выгнан из дома Лазарем Моисеевичем"
Монако,unknown,4,Монако (4),"еты, да выводи в офшоры и на мегаяхты в Монако.  Шиес – хороший пример, как умнеет наш | которого, кстати, почти во Франции – в Монако нагрели на поддельном антиквариате на $ | Сергея Терентьева – виллы во Франции и Монако, где он после отставки и живёт. Как доб"
Беглов,unknown,4,Беглова (3); Беглове (1),"и.о. губернатора Петербурга Александра Беглова. От него ждали какого-то чуда в управле | ей и инициативы. Вердикт: Петербург при Беглове не умрёт. Хуже, чем при Полтавченко не | ник 1956 г.р. Оба, как видимо, возраста Беглова. Оба выросли и сформировались при социа"
Индонезия,unknown,4,Индонезии (2); Индонезией (1); Индонезия (1),"етия, автократии. Её придумал Сухарто в Индонезии, чтобы выборы президента проводил парла | всё равно, какой режим. Китай, Вьетнам, Индонезия, Бруней, Бирма и т.п. на порядок (а ско | ную и товарную расплату (как в случае с Индонезией и Малайзией, которые рассчитываются за"
Ле Пен,person,4,Ле Пен (4),"резидентских выборах-2017 голосовали за Ле Пен. Ещё 20% - за крайне левого Меланшона. | за крайне левого Меланшона. Интересно, Ле Пен и вправду переметнулась сейчас к Бэннон | положений:  - Во Франции победит Марин Ле Пен. После прихода к власти она проведёт ре"
Айсултан Назарбаев,person,4,Айсултан Назарбаев (4),"ого сержанта в Лондоне. Также 29-летний Айсултан Назарбаев должен продолжить лечение от наркомании | рри. Ещё смешнее, что английский офицер Айсултан Назарбаев после окончания академии  в 2012 году б | тана Назарбаева, проживающий в Лондоне, Айсултан Назарбаев заявил, что его «пытаются убить недруги"
Сегодня,unknown,4,Сегодня (4),"панию, как Microsoft. (IBM, 1982 год). (Сегодня многие даже продвинутые технари и эконо | России», ресурсы которой исчерпаны.  - Сегодня у нас пока ещё не антиэлитное восстание | это первый тренд возвращения XX века. - Сегодня ведущие страны Азии делают евгенику сво"
Белгородский,unknown,4,Белгородской (4),"индустриальным обществом – какой-нибудь Белгородской или Тамбовской областью. Предыдущий губ | ого региона есть свой ПМ – к примеру, в Белгородской области он 8290 руб., а в Карелии 13041 | на есть своя специализация. Например, в Белгородской области, где развит аграрный сектор, эт"
Сергей Градировский,person,4,Сергей Градировский (2); Сергея Градировского (2),"ов был в конце 1990-х (Ефим Островский, Сергей Градировский и др.). Кстати, идею «Русского Мира» и | У видного методолога Сергея Градировского увидел простое объяснение многожёнству | ллектуальное пространство». (Про самого Сергея Градировского тоже больше года ничего не слышно. Посл"
Русское,title,4,Русское (4),"В эмигрантском журнале ""Русское возрождение"" за 1987 год прочитал важно | и над окружающим, и над самим собою"". (""Русское слово"", 5 июля, 1904 год) (Добавлю, что | равославный"" Вадим Лурье в своей книге ""Русское православие между Киевом и Москвой"". Бо"
Евгения,title,4,Евгения (4),"арную социальную группу. Приводя пример Евгения Онегина, Ф.Достоевский приходил к вывод | клуба, губернатора Свердловской области Евгения Куйвашева, ВСМПО-АВИСМА и др. фирм откр | (его перевод с русского на английский «Евгения Онегина» признают лучшим). Вчера Лоуэнф"
Православный Церковь,person,4,Православная Церковь (2); Православной Церкви (1); Православной Церковью (1),"жизнь Церкви». (М.Шкаровский, «Русская Православная Церковь при Сталине и Хрущеве») Протоиерей Осип | территория, которая объявляется Русской Православной Церковью как канонически ей принадлежащая, практ | ирокой автономии не обладала Украинская Православная Церковь, до тех пор пока она остается составной"
Кошелев,person,4,Кошелев (4),"(к предыдущему посту) Александр Кошелев ещё интересно описывает экономику сельс | одки всего 3% в год, и покупку поместья Кошелев окупал бы 30 лет. Но из этих 25 тыс. пр | ть работы на земле – до 2,5%.  При этом Кошелев в то же время вместе с группой славяноф"
Правда,unknown,4,Правда (4),"ли парламентская демократия.  Гилберт: Правда, с одним отличием. В условиях демократи | ря та же версия была повторена газетой ""Правда"" и центральными газетами страны:  ""В по | ""Почтальон принёс письма и газету ""Правда"" крестьянам деревни Гвасюги, Хабаровски"
Кристины,title,4,Кристины (4),olk побывала вчера на презентации книги Кристины Потупчик @krispotupchik «Запрещённый»Te | анного в её авторском варианте:  «Кроме Кристины книгу презентовали ещё писатель Кирилл | Навального на бой. В этот момент инсайд Кристины Потупчик прислал ей заявление главы асс
Сенат,unknown,4,Сенат (2); Сенате (1); Сенатом (1),"ерситетом, с городским самоуправлением, Сенатом, а с 1860-х - с парламентом. Не отдавал | ь и есть осетрину, и донесла  на него в Сенат. | стати, в первый инициативу заблокировал Сенат). В присоединённых от Польши губерниях"
Нация,unknown,4,Наций (3); Нации (1),". На заседании Организации Объединенных Наций он снял ботинок и стал стучать им по ст | се 1930-е годы Польша требовала от Лиги Наций передачи им 9% бывших немецких колоний, | мира, то он всё больше напоминает Лигу Наций. История никогда полностью не повторяет"
Рггу,unknown,4,РГГУ (4),"ся и в 2020-е. Социологи и психологи из РГГУ Владимир и Ирина Солодовниковы в 2008-2 | аучная сотрудница Института лингвистики РГГУ разъясняет про феминитивы. Оказывается, | Социолог из РГГУ, френд Андрей Хохлов даёт довольно верн"
Аверин,unknown,4,Аверина (3); Авериным (1),"а, члена исполкома «Другой России» Сашу Аверина. Того самого «героя РВ», воевавшего пар | сто». Наблюдал, как отреагируют на дело Аверина «Дед» (Лимонов), остальные лимоновцы, « | ро что угодно в твиттере, только не про Аверина (но ему хотя бы простительно в силу воз"
Дворцовый,unknown,4,Дворцовой (3); Дворцовая (1),"Ленинград, Дворцовая площадь, 11 октября 1990 года. Митинг п | Патриоты на Дворцовой площади в Петербурге, август 1914 года, | ительна встреча Рылеева и Трубецкого на Дворцовой площади во время восстания. Этой встреч"
Дубай,unknown,4,Дубае (2); Дубаи (1); Дубая (1),"ал по маршруту Лазурный берег - Цюрих - Дубаи. Прицепились все к этому Грефу. Нормаль | ния, сенатор Арашуков вил себе гнездо в Дубае, а не в России. Даже этот абрек всё пон | странах, нейтральных России – в тех же Дубае или в Израиле). В итоге же – ВСЁ ЯСНО."
China,country,4,China (4),"превысило 4,58 млн. (данные Center for China & Globalization; по итогам 2018 года яв | рь достраивают китайцы из госкорпорации China State Construction Engineering Corporat | двоих: создать Химерику (Chimerica – от China + America). Предложили ЕС поделить мир"
Доренко,person,4,Доренко (4),"му туда пришла она в компании с Сергеем Доренко.  Некоторые тезисы, которые записала во | а подумала, куда бы она хотела получать Доренко ежедневно – так пришла идея пойти в Тел | на ролик. Кристина передала этот инсайд Доренко и ещё одному журналисту одновременно, и"
Тут,unknown,4,Тут (4),"cholar-vit.livejournal.com/541386.html  Тут стоит добавить, что англо-саксонский ми | eclamee-par-des-parlementaires-20190512 Тут большая подборка статей про Бэннона htt | цессов, к внедрению новых технологий». (Тут и нечего комментировать. Либеральный вз"
Ндр,unknown,4,НДР (4),"х центристов (примерно как в своё время НДР набирал 10%). Скорее всего и президент | х в ГД-93 «Выбор России» - 15,5%, ГД-95 НДР – 10,1%, ГД-99 «Единство» - 23,3%. Дума | идеологической нагрузки. Последние две, НДР и ЕР, прямо заявляют, что они структуры"
Владимирской,title,4,Владимирской (4),"акций Павленского, вспоминает сотрудник Владимирской тюрьмы Игорь Закурдаев в своей книге ""В | ей книге ""Владимирский централ. История Владимирской тюрьмы"":  ""В середине 1970-х в один из | дней в приёмном покое медицинской части Владимирской тюрьмы раздался шум. Несколько сотрудни"
Власть,title,4,Власть (4),"дальше понеслось то самое «возглавь»: «Власть негодовала. Запад взорвался, событие во | пособной группой). Итак, Стори пишет:  «Власть находится в руках большевиков. Это груп | ирлица», помещённый на обложку журнала «Власть» 11 мая 1999 г. Но образ Штирлица был д"
Мой,title,4,Мой (4),"ик ""Машины времени"" Александр Кутиков: ""Мой дед Наум Моисеевич был управляющим дела | говорил в интервью TJ ещё в 2014 году: ""Мой личный антипример — это Илья Яшин: чело | ли», который прошел в рамках программы «Мой район». Вот один из победителей конкурс"
Шамиля,title,4,Шамиля (4),"имерно 700 поляков были в составе войск Шамиля. Французский консул в Турции (Трабзон) | г. пишет: «Во всех походах сопровождает Шамиля его мощная гвардия из 400 польских всад | ских и поляков. Из воевавших на стороне Шамиля поляков наиболее отличились: Пругацкий,"
Сатановский,unknown,4,Сатановский (2); Сатановского (2),"мьером Японии Абэ и с мудростью Евгения Сатановского и Якова Кедми (Казакова) беседует о том | пустоты израильского политолога Евгения Сатановского (и весь зал слушает и все эксперты слуш | к себе на виллу на озеро Комо в Италии, Сатановский и Яков Кедми - к себе в Израиль, а оста"
Павлом,title,4,Павлом (4),"ом Великим, Иваном Грозным, императором Павлом — сокруши их всех — не смейся, гадкий, | вынут из петли. Он оказался безработным Павлом Шульгиным.  Выяснилось, что Шульгин сим | й системе прописки и регистрации.  Мы с Павлом Степанцовым сделали исследование в рамк"
Османской,title,4,Османской (4),"908 году, когда Албания была ещё частью Османской империи), успевший овладеть французским | пирога, - Турция на территории прежней Османской империи, Бразилия в Южном полушарии». h | 3 году после завоевания Константинополя Османской империей многие учёные и художники бегу"
Рэо,unknown,4,РЭО (4),"ует само государство. Напомню, что этот РЭО – госкомпания, т.е. её сотрудники – чин | коло 40 тыс. в месяц, т.е. руководитель РЭО получает ровно в 60 раз больше средней | больше, чем средняя зарплата. Нынешняя РЭО была бы при СССР отделом в министерстве"
Петербурга,title,4,Петербурга (4),"Чтобы были понятны масштабы: население Петербурга за одно десятилетие выросло вдвое - в о | Персонаж эпохи ""Бандитского Петербурга"" @nightguber стал писать в Телеграм нес | и расспрашивать о том, что делается вне Петербурга; вся наша пространная многолюдная стран"
Андрей Илларионов,person,4,Андрей Илларионов (3); Андрея Илларионова (1),"е бывший советник Путина и тоже либерал Андрей Илларионов: «Если сбережения граждан были настольк | рно 40-50 трлн. нынешних рублей. Тот же Андрей Илларионов неоднократно писал, что одномоментно от | влечен В.Познер. Бывший советник Путина Андрей Илларионов у себя в ЖЖ пишет, что  «третье интервь"
Челябинск,unknown,4,Челябинск (2); Челябинске (2),"завод в Магнитогорске, Сталинграде или Челябинске в 1929-30 годах, переговоры об их покуп | тром в Казани, Уральская – Екатеринбург+Челябинск, Западносибирская. В пяти метрополиях с | ожить на 1,3. Например, в Красноярске и Челябинске медианная зарплата окажется 26-28 тыс."
Стрелки,title,4,Стрелки (4),"р от Собянина - от Маркво до Ревзина и ""Стрелки"" (на самом деле - тысячи). Что-то вы не | с машинами экспертов из ВШЭ, РАНХиГС, ""Стрелки"" и пр. агентов власти по ""улучшению"" - | экономики города. Почитал исследование «Стрелки» по городам-миллионникам. Цифры там до"
Керченский,unknown,4,Керченский (2); Керченского (1); Керченском (1),"а, Тельбесского (Кузнецкого комбината), Керченского метзавода было принято Политбюро ЦК ВКП | ный» период подготовки. Первая домна на Керченском метзаводе открылась в апреле 1930 года. | практически открыто помогают РФ строить Керченский мост и развивать крымскую энергетику (в"
Антанты,title,4,Антанты (4),"ко против Англии, но и даже т.н. «Малой Антанты» - Финляндии, Прибалтики, Польши и Румы | и одновременном выступлении стран Малой Антанты РККА будет полностью разбита за два мес | волюция. После Октября у разведок стран Антанты - особенно английской СИС - был свой ин"
Бостон,unknown,4,Бостон (2); Бостоне (2),"38 пехотном полку, расквартированном в Бостоне.   Вскоре Тринадцать колоний объявили о | независимости, ирландский полк покинул Бостон, чтобы против них воевать, и первые чер | рессивной стране НАТО» - в американском Бостоне.  В общем, в очередной раз выяснилось,"
Дерипаска,unknown,4,Дерипаски (4),"ию с ЧВК ""Вагнер"" и о связи Манафорта и Дерипаски, много ещё чем отметился в расследовате | арест проститутки в Тайланде по заказу Дерипаски, подробности вчерашней революции в Арме | ление. Если взять у того же Абрамовича, Дерипаски или Роснефти 1 млрд. долларов в год и р"
Еаэс,unknown,4,ЕАЭС (4),"Б и заявил, что не собирается входить в ЕАЭС. Таким образом, Шавкат Мирзиёев направи | ашей территории. 15. Кризис отношений в ЕАЭС - нефтегазовый клинч Беларуси, фронда А | ии с долгами, выведение активов из РФ и ЕАЭС на черный континент, запасные аэродромы"
Антоний,person,4,Антоний (4),"щала по швам, а архиепископ Харьковский Антоний (Храповицкий) мечтает о завоевании Пале | опроса выступил архиепископ Харьковский Антоний (Храповицкий). Он считал, что задачей Р | всех православных епархий. Архиепископ Антоний считал, что России следует восстановить"
Симон Кордонской,person,4,Симона Кордонского (3); Кордонского (1),"ков миллионов россиян. Фонд «Хамовники» Симона Кордонского провёл множество исследований на этот с | У Симона Кордонского интересные воспоминания о том, что кома"
Куда,title,4,Куда (4),"беседу с крестьянами, везшими хлеб.  - Куда же вы его везёте? Ведь хлеб для скота н | ективные». Аркадий и Борис Стругацкие. «Куда ж нам плыть». 1990 год. | тысяч долларов». Он договор подписал: «Куда деньги перевести? Только фильм не снима"
Мэдисон,person,4,Мэдисона (3); Южной (1),"подсчётов некогда гуру в этой отрасли – Мэдисона. Понять можно: сегодня появилось больше | ретроспективных подсчётов. Главная идея Мэдисона – что Европа начала сильно опережать Аз | лученную зарплату) в Великобритании и в Южной Индии в течение XVIII в. для ткачей, ры"
Куликовский,unknown,4,Куликовской (3); Куликовскую (1),"Интересная деконструкция мифов о Куликовской битве. В частности, того, что якобы Сер | е поддержал и Сергий. А благословлял на Куликовскую битву Дмитрия коломенский епископ Герас | ю. Письменные источники, как в случае с Куликовской битвой, были написаны в лучшем случае ч"
Б-г,unknown,4,Б-г (3); Б-гу (1),"ак или нет пишу про Собянина - рассудит Б-г. (На теме кормления и денег рушится вес | эрофлоту"", если тебя там обидели. Слава Б-гу, пока есть ещё чем летать. (А так, мой | ородцева. Хорошее было время, но не дай Б-г его повторения. Нынешняя инфантильная м"
Федорович,unknown,4,Федоровича (1); Федоровичу (1); Федоровна (1); Фёдорович (1),"пытаются управлять тобою!"". Александра Федоровна - Николаю II, декабрь 1916. | 1.Александр Святогор (Агеенко Александр Фёдорович). Окончил семинарию, пошёл в священники | в России. По жалованной грамоте Михаила Федоровича голландский бизнесмен Виниус в 1632 год"
Фнб,unknown,4,ФНБ (4),"в этом году будет почти 4 трлн. руб., в ФНБ уже больше 8 трлн., ЦБ радостно сообщае | ым грузом, как у России в резервах ЦБ и ФНБ, а вложены в мировые ликвидные активы. | Б уже превысили 550 млрд. долларов, а в ФНБ скопилось уже больше 100 млрд. долларов"
Посейдон,title,4,Посейдон (4),"пел, как цунами высотой 1 км от ракеты ""Посейдон"" мощностью 100 мегатонн смоет Америку. | «вундервафлях» России – морской ракете «Посейдон», ракетах «Кинжал» и «Авангард» и пр. З | cs.org/archives/19782  Ну и про ракету «Посейдон» интересно: «А как предполагается подат"
Ганы,title,4,Ганы (4),"огу пройти мимо выступления делегата из Ганы. Вышел на трибуну человек 40-45 лет, ул | риканцев, вызванная смертью студента из Ганы. Манифестанты, убеждённые в том, что ст | ганское посольство, где её принял посол Ганы в СССР Джон Эллиот. На состоявшейся зат"
Галковский,unknown,4,Галковского (3); Галковский (1),"ушку лежит преимущественно через чтение Галковского. И это вовсе не в упрек Галковскому, на | очность одного из основных законов Мира Галковского - закона свободной конвертации власти в | амых «продвинутых» - Дмитрий Евгеньевич Галковский, первым, ещё в 1980-е, творчески перера"
Лев Николаевич,person,4,Лев Николаевич (1); Льва Николаевича (1); Льве Николаевиче (1); Льву Николаевичу (1),"сским писателем он вспоминает: ""Вот вы, Лев Николаевич, сапоги шьёте сами, а у вас в деревне к | ника Натальи Колосовой - воспоминания о Льве Николаевиче Гумилёве, 15 сентября 1984 года: ""Были | Селфи от Льва Николаевича Толстого, 1862 год"
Александр Лукашенко,person,4,Александр Лукашенко (3); Александра Лукашенко (1),"дничества с Россией. Президент Беларуси Александр Лукашенко открыто заявил, что Минск сворачивает а | ом «Новая Европа», президент Белоруссии Александр Лукашенко был признан самым популярным зарубежным | тии решений и политическом поведении на Александра Лукашенко. Вторым по популярности политиком у укр"
Метельский,unknown,4,Метельского (3); Метельский (1),"ере предводителя московских единороссов Метельского, распихавшего «нажитые» миллиарды в Авс | мах полупериферии. У того же единоросса Метельского активы побольше нашли.  Но факт остаётс | у – это «расследование» вождя. Бирюков, Метельский, «дело Голунова», сейчас вот – Сергунин"
Николаевич,title,4,Николаевич (4),"м писателем он вспоминает: ""Вот вы, Лев Николаевич, сапоги шьёте сами, а у вас в деревне к | звезли бы депутатов по больницам. Борис Николаевич утвердил план без колебаний"". Но, как у | вления Лиги безопасного интернета Денис Николаевич Давыдов: Спецслужбы «пяти глаз» (США, В"
СТЦ,title,4,СТЦ (4),"бразована ""Свободная Трудовая Церковь"" (СТЦ) - одно из ответвлений обновленчества. | пископ Иоанникий (Смирнов). В программе СТЦ были такие ""Тезисы о храме"":  - 1)Храм | сти буржуазного общественного класса"". (СТЦ был передан храм Св.Николая ""Красный зв"
Ук Рсфср,person,4,УК РСФСР (4),Ст. 224 УК РСФСР от 1922 г. гласила: Нарушение правил и | остовской области. Осужден по ст. 58-1б УК РСФСР на 25 лет. В мае 1942 года Кузнецов сда | сужден в 1944 году по ст. 58-1а и 58-11 УК РСФСР к 10 годам ИТЛ за участие в украинской
Вестник,title,4,Вестник (4),"ностно-мотивационный аспект)"", (журнал ""Вестник Института социологии"", №12 2015) социол | териале Белгородской области)"" (журнал ""Вестник новых медицинских технологий"", №1, 2010 | таршим поколением, и привязки к семье («Вестник Института социологии», №1, 2019)"
АЭС,title,4,АЭС (4),"критикует белорусов из-за строительства АЭС в Островце и военного сотрудничества с | ующая компания EDF, крупнейший оператор АЭС в мире, создала дочернюю компанию Hynam | класса ""Liberty"" (американская плавучая АЭС, известная как проект MH-1A, заработала"
Республиканский,unknown,4,Республиканской (3); Республиканскую (1),"США) и сын Джон Подгорец. Сын состоит в Республиканской партии, известный политолог и публицист | , что тот своим президентством разрушит Республиканскую партию, и после него будет долгое домин | еской партией, меньшая часть ДП и часть Республиканской партии составят новую правоцентристскую"
Дзержинский,unknown,4,Дзержинская (1); Дзержинский (1); Дзержинского (1); Дзержинскому (1),"зержинского был открыт памятник Феликсу Дзержинскому (скульптор Евгений Вучетич) | ляла дочь ""железного Феликса"" Маргарита Дзержинская. Сайвальд описывает типажи ""ненормальны | борются за его имя. При этом борются за Дзержинского, другие крупные фигуры НКВД 1920-30-х ("
Крс,unknown,4,КРС (4),"ерабатывающий завод в Татарстане, фермы КРС в Ставрополье, и т.д.).  И тоже все они | и Украине схожа – зерновые, масличные, КРС. Вот и на Украине надо ориентироваться | О размерах крупного рогатого скота (КРС) на территории европейской части России"
В Китай,person,4,В Китае (4),"В Китае несмотря на разрешение иметь двух детей | айцев, следует держать под контролем»  «В Китае люди встревожены поднявшейся в последни | В Китае в 1937-45 годах было 95 млн. беженцев,"
Энвер,person,4,Энвер (4),"Албанский социалистический диктатор Энвер Ходжа на протяжении руководства страной | и (Пол Пот, Хо Шимин, Дэн Сяопин и др.) Энвер Ходжа культурно был сильно связан с Фра | нцузский период» его жизни: «К 25 годам Энвер (он родился в 1908 году, когда Албания"
Соя,unknown,4,СОИ (4),"говору. - Гонка вооружений (особенно по СОИ), чтобы истощить СССР. - Снижение цен н | й после объявления Рейганом о программе СОИ (в марте 1983 года), но он не сообщал о | м выступила американская блеф-программа СОИ. Сейчас, похоже, её блеф-аналог – систе"
Например,unknown,4,Например (4),"avlyali_zhizn_v_sssr_cherez_desyat_let  Например, видение писателя Марка Алданова (Ланда | уровне возрождение «лотереи демократии» Например, в 2016 году Ирландия повторила опыт ан | ла введена их «регулярная планировка». (Например, Ярославль, Кострома и Тверь.) От многи"
Вологодский,unknown,4,Вологодский (2); Вологодская (1); Вологодской (1),"Архиепископ Вологодский и Тотемский, член Св. Синода, один из о | ться. Например, какой-нибудь райцентр в Вологодской области или деревня – в Коми.  2)Балльн | Интересно, что Московская, Ярославская, Вологодская области и вообще весь европейский Север"
Зима,unknown,4,ЗИМа (2); ЗИМы (1); Зима (1),10 лет тогда выглядели примерно так:  - Зима чередуется страшными морозами (от -35 д | РПЦ – две первые группы приобретателей ЗИМа в Москве (у кого тогда были большие ден | К посту выше - про ЗИМы для номенклатуры. Вот как раз патриарх
